@relation Churn_test-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0

@attribute CreditScore numeric
@attribute Age numeric
@attribute Tenure numeric
@attribute Balance numeric
@attribute NumOfProducts numeric
@attribute HasCrCard numeric
@attribute IsActiveMember numeric
@attribute EstimatedSalary numeric
@attribute Exited {Stay,Exit}

@data
590,41,1,89086.31,1,1,0,24499.97,Stay
602,42,1,138912.17,1,1,1,139494.75,Stay
818,43,10,105301.5,1,1,1,78941.59,Stay
583,40,3,0,2,1,0,47728,Stay
683,39,2,47685.47,2,1,1,86019.48,Stay
746,34,6,141806,2,1,1,183494.87,Stay
850,44,2,112755.34,2,0,0,158171.36,Stay
658,31,5,100082.14,1,0,1,49809.88,Stay
613,45,9,142765.24,2,1,0,34749.65,Stay
601,43,3,141859.12,2,1,1,111249.62,Stay
505,35,8,116932.59,1,1,0,91092.84,Stay
546,36,7,85660.96,1,0,0,134778.01,Stay
636,29,3,97325.15,1,0,1,131924.38,Stay
485,37,5,0,2,0,1,170226.47,Stay
813,27,6,111348.15,1,1,0,46422.46,Stay
708,41,0,0,1,1,0,128400.62,Stay
568,28,1,127289.28,1,0,0,45611.51,Stay
736,54,7,111729.47,2,0,1,84920.49,Stay
636,29,3,97325.15,1,0,1,131924.38,Stay
590,41,1,89086.31,1,1,0,24499.97,Stay
602,42,1,138912.17,1,1,1,139494.75,Stay
741,64,2,69311.16,1,1,1,59237.72,Stay
586,33,9,0,1,1,0,6975.02,Stay
603,39,9,76769.68,1,0,0,48224.72,Stay
640,37,5,158024.38,1,1,0,81298.09,Stay
616,34,10,0,2,1,0,25662.27,Stay
744,30,1,124037.28,1,1,1,142210.94,Stay
587,42,1,0,1,0,0,123006.91,Stay
638,26,1,105249.76,2,1,1,23491.09,Stay
654,24,8,145081.73,1,1,1,130075.07,Stay
537,38,6,141786.78,1,0,1,147797.54,Stay
551,35,7,129717.3,2,0,0,86937.2,Stay
850,39,6,0,2,1,0,103921.43,Stay
644,49,10,0,2,1,1,145089.64,Stay
739,36,0,0,2,0,0,133465.57,Stay
658,31,5,100082.14,1,0,1,49809.88,Stay
686,37,9,134560.62,1,1,0,27596.39,Stay
667,70,3,77356.92,2,1,1,20881.96,Stay
739,36,0,0,2,0,0,133465.57,Stay
657,28,7,0,2,0,1,5177.62,Stay
803,43,3,0,1,1,0,72051.44,Stay
759,44,2,111095.58,2,1,0,100137.7,Stay
600,31,8,0,2,1,1,121555.51,Stay
828,37,4,0,2,1,0,94845.45,Stay
470,35,1,96473.59,1,0,0,5962.3,Stay
754,34,7,0,2,1,1,65219.85,Stay
671,42,6,0,2,1,0,197202.48,Stay
660,31,1,84560.04,1,1,1,137784.25,Stay
505,25,5,114268.85,2,1,1,126728.27,Stay
744,39,6,0,1,0,0,10662.58,Stay
838,41,5,0,2,1,0,81313.51,Stay
649,38,8,0,1,1,0,103760.53,Stay
790,37,8,0,2,1,1,149418.41,Stay
753,35,4,0,2,1,1,106303.4,Stay
645,40,6,131411.24,1,1,1,194656.11,Stay
664,41,5,0,1,1,1,152054.33,Stay
850,29,1,154640.41,1,1,1,164039.51,Stay
691,44,6,134066.1,2,1,1,197572.41,Stay
635,41,1,0,2,1,0,175611.5,Stay
753,35,4,0,2,1,1,106303.4,Stay
582,35,8,121309.17,2,1,1,28750.67,Stay
611,33,7,0,2,1,1,3729.89,Stay
639,77,6,80926.02,2,1,1,55829.25,Stay
502,37,10,0,1,1,1,76642.68,Stay
806,31,9,0,2,0,1,140168.36,Stay
691,44,6,134066.1,2,1,1,197572.41,Stay
673,39,7,82255.51,2,1,0,109545.56,Stay
834,34,5,0,2,0,0,53437.1,Stay
644,37,9,0,2,1,1,96442.86,Stay
681,43,8,154100.3,1,0,0,114659.81,Stay
671,42,6,0,2,1,0,197202.48,Stay
660,34,1,0,2,1,0,9692.58,Stay
481,28,10,0,2,1,0,145215.96,Stay
613,29,0,0,2,0,1,133897.32,Stay
492,38,8,57068.43,2,1,0,188974.81,Stay
455,27,5,155879.09,2,0,0,70774.97,Stay
593,41,4,119703.1,2,1,1,109783.29,Stay
607,32,9,144272.07,2,1,0,176580.63,Stay
762,28,3,125155.83,2,1,1,106024.02,Stay
644,49,10,0,2,1,1,145089.64,Stay
511,75,9,105609.17,1,0,1,105425.18,Stay
607,32,9,144272.07,2,1,0,176580.63,Stay
521,61,0,125193.96,1,1,1,109356.53,Stay
613,43,4,140681.68,1,0,1,20134.07,Stay
652,40,7,100471.34,1,1,1,124550.88,Stay
511,75,9,105609.17,1,0,1,105425.18,Stay
560,27,5,0,2,1,0,131919.48,Stay
539,38,5,0,2,1,0,47388.41,Stay
584,36,4,109646.83,1,1,1,70240.79,Stay
633,26,8,124281.84,1,1,1,60116.57,Stay
739,36,0,0,2,0,0,133465.57,Stay
652,40,7,100471.34,1,1,1,124550.88,Stay
664,32,5,133705.74,1,0,0,134455.84,Stay
688,32,5,0,2,0,1,177607.77,Stay
590,34,0,65812.35,2,0,1,160346.3,Stay
768,40,8,0,2,0,1,69080.46,Stay
686,39,4,0,2,1,0,155023.93,Stay
744,31,0,117551.23,1,1,0,158958.9,Stay
727,21,8,153344.72,1,1,1,163295.87,Stay
739,34,9,0,1,1,0,60584.33,Stay
590,47,3,0,2,1,0,171774.5,Stay
669,25,7,157228.61,2,1,0,124382.9,Stay
644,31,5,0,2,1,1,41872.17,Stay
738,67,1,130652.52,1,0,1,22762.23,Stay
570,36,3,0,2,1,0,92118.75,Stay
678,49,1,0,2,1,1,102472.9,Stay
595,32,0,92466.21,1,1,0,4721.3,Stay
648,38,2,0,2,0,1,9551.49,Stay
722,40,6,89175.06,2,0,1,152883.95,Stay
458,43,1,106870.12,2,1,0,100564.37,Stay
581,43,4,170172.9,1,0,1,100236.02,Stay
665,36,1,0,2,0,1,121505.61,Stay
710,58,7,170113,2,0,1,10494.64,Stay
778,48,3,102290.56,2,1,0,182691.31,Stay
587,42,1,0,1,0,0,123006.91,Stay
691,44,6,134066.1,2,1,1,197572.41,Stay
537,38,6,141786.78,1,0,1,147797.54,Stay
590,37,1,0,2,0,0,133535.99,Stay
660,36,0,84438.57,1,1,1,181449.51,Stay
533,43,4,80442.06,2,0,1,12537.42,Stay
630,28,1,0,2,1,1,133267.78,Stay
620,38,0,0,2,1,1,38015.34,Stay
638,26,1,105249.76,2,1,1,23491.09,Stay
677,36,10,68806.84,1,1,0,33075.24,Stay
504,34,0,54980.81,1,1,1,136909.88,Stay
768,40,8,0,2,0,1,69080.46,Stay
680,33,10,183768.47,1,1,0,164119.35,Stay
414,60,3,0,2,1,1,93844.82,Stay
616,29,9,0,1,1,1,166984.44,Stay
680,33,10,183768.47,1,1,0,164119.35,Stay
721,40,3,0,1,1,1,144874.67,Stay
661,41,5,122552.48,2,0,1,120646.4,Stay
651,37,9,114453.58,1,0,1,175820.91,Stay
624,33,6,66220.17,1,0,1,170819.01,Stay
706,53,7,0,2,0,1,117939.17,Stay
644,40,8,93183.19,1,1,0,73882.49,Stay
631,32,10,0,2,0,1,196342.66,Stay
649,38,8,0,1,1,0,103760.53,Stay
600,32,1,78535.25,1,1,0,64349.6,Stay
470,35,1,96473.59,1,0,0,5962.3,Stay
630,31,0,0,2,1,1,34475.14,Stay
617,44,9,49157.09,2,1,0,53294.17,Stay
754,27,7,117578.35,2,0,1,87908.01,Stay
712,30,1,89571.59,1,1,1,177613.19,Stay
492,38,8,57068.43,2,1,0,188974.81,Stay
652,36,9,150956.71,1,0,0,72350.17,Stay
818,43,10,105301.5,1,1,1,78941.59,Stay
706,35,5,0,2,1,1,81718.37,Stay
704,41,9,62078.21,2,1,0,129050.67,Stay
520,31,4,93249.4,1,1,0,77335.75,Stay
657,41,8,109402.13,1,1,1,66463.62,Stay
850,28,8,67639.56,2,1,1,194245.29,Stay
504,34,0,54980.81,1,1,1,136909.88,Stay
799,70,8,70416.75,1,1,1,36483.52,Stay
658,31,5,100082.14,1,0,1,49809.88,Stay
644,44,8,106022.73,2,0,0,148727.42,Stay
620,42,1,0,2,0,1,65565.92,Stay
731,30,7,0,2,0,1,143086.09,Stay
742,27,0,0,2,0,1,131534.96,Stay
744,31,0,117551.23,1,1,0,158958.9,Stay
566,44,5,141428.99,2,0,0,68408.74,Stay
455,27,5,155879.09,2,0,0,70774.97,Stay
650,24,8,108881.73,1,1,0,104492.83,Stay
592,45,8,84692.5,1,0,1,67214.02,Stay
600,46,10,95502.21,1,0,0,19842.18,Stay
669,25,7,157228.61,2,1,0,124382.9,Stay
559,62,6,118756.62,1,1,1,20367.68,Stay
806,34,6,0,2,0,0,100809.99,Stay
706,35,5,0,2,1,1,81718.37,Stay
641,40,4,101090.27,1,1,1,51703.09,Stay
681,31,4,97338.19,2,0,0,48226.76,Stay
774,26,5,0,2,1,1,64716.08,Stay
591,42,10,0,2,0,0,171099.22,Stay
630,28,1,0,2,1,1,133267.78,Stay
612,41,5,0,3,0,0,151256.22,Stay
687,44,8,95368.14,2,1,1,1787.85,Stay
685,38,4,0,2,1,1,35884.91,Stay
607,40,1,112544.45,1,1,1,19842.22,Stay
850,29,1,154640.41,1,1,1,164039.51,Stay
454,48,5,144837.79,1,1,1,93151.77,Stay
504,44,4,113522.64,1,1,1,12405.2,Stay
744,44,5,120654.68,1,1,0,82290.81,Stay
755,29,3,0,3,1,0,4733.94,Stay
655,32,9,113447.01,1,1,0,82084.3,Stay
652,40,7,100471.34,1,1,1,124550.88,Stay
504,34,0,54980.81,1,1,1,136909.88,Stay
786,34,3,137361.96,1,0,0,183682.09,Stay
546,36,7,85660.96,1,0,0,134778.01,Stay
691,44,6,134066.1,2,1,1,197572.41,Stay
604,36,10,113546.3,1,1,1,134875.37,Stay
639,77,6,80926.02,2,1,1,55829.25,Stay
579,39,2,151963.26,2,1,0,158948.63,Stay
850,38,1,146343.98,1,0,1,103902.11,Stay
688,26,0,0,2,1,0,105784.85,Stay
612,38,7,110615.47,1,1,1,193502.93,Stay
745,28,6,0,2,1,0,154389.18,Stay
678,44,2,98009.13,2,0,1,31384.86,Stay
684,24,9,79263.9,1,0,1,196574.48,Stay
521,43,8,0,1,1,1,93180.09,Stay
718,40,9,0,2,0,0,121537.91,Stay
644,18,8,0,2,1,0,59172.42,Stay
562,62,3,0,2,1,0,105986.01,Stay
720,33,2,0,2,0,1,141031.08,Stay
664,32,5,133705.74,1,0,0,134455.84,Stay
700,40,2,0,2,1,0,199753.97,Stay
531,42,6,75302.85,2,0,0,57034.35,Stay
608,38,8,103653.51,2,1,1,137079.86,Stay
616,30,2,0,2,1,0,199099.51,Stay
587,46,6,88820.29,1,0,0,70224.34,Stay
739,34,9,0,1,1,0,60584.33,Stay
664,32,5,133705.74,1,0,0,134455.84,Stay
550,31,5,142200.19,2,1,1,122221.71,Stay
710,38,3,130588.82,1,1,1,154997.64,Stay
733,39,5,91538.51,1,1,1,93783,Stay
850,19,8,0,1,1,1,68569.89,Stay
638,34,6,114543.27,1,1,1,97755.29,Stay
700,40,2,0,2,1,0,199753.97,Stay
755,38,1,0,2,1,0,20734.81,Stay
591,35,2,90194.34,2,1,0,57064.57,Stay
583,40,3,0,2,1,0,47728,Stay
738,67,1,130652.52,1,0,1,22762.23,Stay
665,44,7,0,2,1,1,66548.58,Stay
414,60,3,0,2,1,1,93844.82,Stay
706,53,7,0,2,0,1,117939.17,Stay
497,27,7,149400.27,1,0,0,167522.19,Stay
586,33,9,0,1,1,0,6975.02,Stay
779,42,5,0,2,0,0,25951.91,Stay
587,42,1,0,1,0,0,123006.91,Stay
741,64,2,69311.16,1,1,1,59237.72,Stay
704,41,9,62078.21,2,1,0,129050.67,Stay
813,27,6,111348.15,1,1,0,46422.46,Stay
624,33,6,66220.17,1,0,1,170819.01,Stay
746,34,6,141806,2,1,1,183494.87,Stay
620,42,1,0,2,0,1,65565.92,Stay
850,29,1,154640.41,1,1,1,164039.51,Stay
850,31,4,164672.66,1,0,1,61936.1,Stay
563,24,7,0,2,0,0,16319.56,Stay
766,28,3,62717.84,2,1,1,13182.43,Stay
700,40,2,0,2,1,0,199753.97,Stay
669,25,7,157228.61,2,1,0,124382.9,Stay
579,39,2,151963.26,2,1,0,158948.63,Stay
492,38,8,57068.43,2,1,0,188974.81,Stay
727,41,10,0,2,0,1,47468.56,Stay
579,33,1,65667.79,2,0,0,164608.98,Stay
818,43,10,105301.5,1,1,1,78941.59,Stay
593,45,4,138825.19,1,0,0,10828.78,Stay
700,40,2,0,2,1,0,199753.97,Stay
414,60,3,0,2,1,1,93844.82,Stay
563,57,6,0,2,1,1,39297.48,Stay
651,28,10,79562.98,1,1,1,74687.37,Stay
602,49,0,191808.73,1,0,0,97640.2,Stay
732,35,3,0,2,1,0,90876.95,Stay
720,23,0,187861.18,2,1,1,104120.17,Stay
422,54,4,0,2,1,1,7166.71,Stay
710,58,7,170113,2,0,1,10494.64,Stay
639,37,5,98186.7,1,0,1,173386.95,Stay
693,34,10,107556.06,2,0,0,154631.35,Stay
479,35,4,125920.98,1,1,1,20393.44,Stay
779,49,9,106160.37,1,0,0,116893.87,Stay
700,40,2,0,2,1,0,199753.97,Stay
662,26,0,0,2,0,1,72929.96,Stay
602,35,8,0,1,1,1,22499.29,Stay
624,35,2,0,2,1,0,87310.59,Stay
602,35,8,0,1,1,1,22499.29,Stay
657,34,5,154983.98,1,1,0,27738.01,Stay
620,42,1,0,2,0,1,65565.92,Stay
850,40,6,97339.99,1,0,1,88815.25,Stay
581,43,4,170172.9,1,0,1,100236.02,Stay
759,45,8,0,2,1,1,99251.24,Stay
559,33,9,111060.05,2,1,0,110371.84,Stay
414,60,3,0,2,1,1,93844.82,Stay
774,26,5,0,2,1,1,64716.08,Stay
563,34,6,0,2,0,0,36536.93,Stay
520,31,4,93249.4,1,1,0,77335.75,Stay
617,44,9,49157.09,2,1,0,53294.17,Stay
806,31,9,0,2,0,1,140168.36,Stay
614,66,2,0,2,0,1,180082.7,Stay
498,35,2,121968.11,2,0,1,188343.05,Stay
632,49,5,167962.7,1,0,0,140201.21,Stay
607,34,9,132439.99,1,1,0,177747.72,Stay
691,44,6,134066.1,2,1,1,197572.41,Stay
790,34,2,164011.48,1,1,0,199420.41,Stay
635,41,1,0,2,1,0,175611.5,Stay
729,42,4,97495.8,2,0,0,2002.5,Stay
710,58,7,170113,2,0,1,10494.64,Stay
813,27,6,111348.15,1,1,0,46422.46,Stay
850,34,6,101266.51,1,1,0,33501.98,Stay
505,35,8,116932.59,1,1,0,91092.84,Stay
648,45,5,118886.55,1,0,0,51636.7,Stay
655,32,9,113447.01,1,1,0,82084.3,Stay
655,37,9,121342.24,1,1,1,180241.44,Stay
502,37,10,0,1,1,1,76642.68,Stay
521,77,6,0,2,1,1,49054.1,Stay
593,38,5,142658.04,2,0,1,135337.11,Stay
704,38,6,106687.76,1,1,0,173776.5,Stay
591,35,2,90194.34,2,1,0,57064.57,Stay
563,34,6,0,2,0,0,36536.93,Stay
590,38,9,0,2,1,1,148750.16,Stay
522,41,5,144147.68,1,1,1,14789.9,Stay
741,36,3,0,2,1,1,89804.83,Stay
602,35,8,0,1,1,1,22499.29,Stay
532,37,5,0,2,0,1,6761.84,Stay
616,34,10,0,2,1,0,25662.27,Stay
608,38,8,103653.51,2,1,1,137079.86,Stay
559,62,6,118756.62,1,1,1,20367.68,Stay
678,28,2,109137.12,1,1,1,58814.41,Stay
588,30,3,115007.08,1,0,0,176858.5,Stay
774,26,5,0,2,1,1,64716.08,Stay
550,31,5,142200.19,2,1,1,122221.71,Stay
792,70,3,0,2,1,1,172240.27,Stay
755,29,3,0,3,1,0,4733.94,Stay
850,39,6,0,2,1,0,103921.43,Stay
623,50,2,87116.71,1,1,1,104382.11,Stay
686,39,4,0,2,1,0,155023.93,Stay
779,49,9,106160.37,1,0,0,116893.87,Stay
603,39,9,76769.68,1,0,0,48224.72,Stay
479,35,4,125920.98,1,1,1,20393.44,Stay
600,31,8,0,2,1,1,121555.51,Stay
725,33,4,0,1,1,1,67879.8,Stay
550,47,2,0,2,1,1,97057.28,Stay
766,37,2,99660.13,2,0,1,147700.78,Stay
433,34,9,152806.74,1,1,0,19687.99,Stay
614,66,2,0,2,0,1,180082.7,Stay
650,32,4,79450.09,1,1,1,118324.75,Stay
751,42,4,0,2,1,1,81442.6,Stay
699,29,9,127570.93,2,1,0,164756.81,Stay
511,75,9,105609.17,1,0,1,105425.18,Stay
736,29,9,0,2,0,0,176152.7,Stay
631,32,10,0,2,0,1,196342.66,Stay
648,45,5,118886.55,1,0,0,51636.7,Stay
620,38,0,0,2,1,1,38015.34,Stay
654,28,7,0,2,1,0,151316.37,Stay
454,48,5,144837.79,1,1,1,93151.77,Stay
573,35,9,134498.54,2,1,1,119924.8,Stay
647,33,7,121260.19,2,1,0,77216.48,Stay
759,45,8,0,2,1,1,99251.24,Stay
652,34,6,97435.85,2,1,1,104331.76,Stay
731,19,6,0,2,1,1,151581.79,Stay
660,36,0,84438.57,1,1,1,181449.51,Stay
746,34,6,141806,2,1,1,183494.87,Stay
673,39,7,82255.51,2,1,0,109545.56,Stay
520,31,4,93249.4,1,1,0,77335.75,Stay
644,49,10,0,2,1,1,145089.64,Stay
547,51,1,0,2,1,1,56908.41,Stay
684,32,9,100249.41,2,0,1,67599.69,Stay
716,39,1,70657.61,2,1,1,76476.05,Stay
790,37,8,0,2,1,1,149418.41,Stay
590,47,3,0,2,1,0,171774.5,Stay
628,51,9,155903.82,2,1,1,71159.84,Stay
505,35,8,116932.59,1,1,0,91092.84,Stay
849,49,9,132934.89,1,1,0,171056.65,Exit
642,48,9,118317.27,4,0,0,78702.98,Exit
705,48,1,156848.13,2,1,1,99475.95,Exit
700,47,4,0,1,1,0,121798.52,Exit
834,57,8,112281.6,3,1,0,140225.14,Exit
718,52,8,79475.3,3,1,1,32421.32,Exit
516,45,4,0,1,1,0,95273.73,Exit
569,51,3,0,3,1,0,75084.96,Exit
825,35,6,118336.95,1,1,0,26342.33,Exit
600,53,7,106261.63,1,1,0,93629.66,Exit
541,39,9,100116.67,1,1,1,199808.1,Exit
569,51,3,0,3,1,0,75084.96,Exit
718,52,8,79475.3,3,1,1,32421.32,Exit
684,60,2,116563.58,1,1,0,120257.7,Exit
775,48,4,178144.91,2,0,0,50168.41,Exit
569,51,3,0,3,1,0,75084.96,Exit
569,41,4,120243.49,1,1,0,163150.03,Exit
591,27,5,107812.67,1,0,1,162501.83,Exit
598,40,2,171178.25,1,1,0,137980.58,Exit
516,45,4,0,1,1,0,95273.73,Exit
649,32,1,0,1,0,1,91167.19,Exit
605,57,2,0,3,1,0,66652.75,Exit
383,48,8,95808.19,1,0,0,137702.01,Exit
694,35,7,0,1,1,0,133570.43,Exit
657,48,5,143595.87,1,0,0,101314.65,Exit
746,48,5,165282.42,1,1,0,153786.46,Exit
516,45,4,0,1,1,0,95273.73,Exit
835,47,5,108289.28,2,1,1,45859.55,Exit
585,50,2,125845.66,1,1,0,9439.31,Exit
600,53,7,106261.63,1,1,0,93629.66,Exit
644,51,4,95560.04,1,0,0,72628.84,Exit
602,53,5,98268.84,1,0,1,45038.29,Exit
655,37,4,108862.76,1,1,0,79555.08,Exit
532,52,9,137755.76,1,1,0,163191.99,Exit
652,51,3,0,1,1,0,173989.47,Exit
635,27,8,127471.56,1,1,1,152916.05,Exit
617,50,7,0,1,1,0,184839.7,Exit
633,58,2,128137.42,2,1,0,147635.33,Exit
383,48,8,95808.19,1,0,0,137702.01,Exit
681,43,3,66338.68,1,1,1,18772.5,Exit
678,43,1,133237.21,1,1,0,111032.79,Exit
635,27,8,127471.56,1,1,1,152916.05,Exit
715,34,9,102277.52,1,0,0,177852.57,Exit
676,49,1,0,1,1,0,79342.31,Exit
494,41,2,69974.66,2,1,0,188426.13,Exit
633,58,2,128137.42,2,1,0,147635.33,Exit
541,39,9,100116.67,1,1,1,199808.1,Exit
555,51,9,138214.5,1,1,0,198715.27,Exit
739,41,8,0,1,1,0,191694.77,Exit
751,48,9,0,1,1,0,137508.42,Exit
610,57,7,72092.95,4,0,1,113228.82,Exit
626,43,4,137638.69,1,1,0,130442.08,Exit
668,56,9,110993.79,1,1,0,134396.64,Exit
621,40,7,0,2,0,1,131283.6,Exit
667,42,7,0,1,0,1,108348.94,Exit
689,40,4,78119.59,4,1,0,119259.34,Exit
700,47,4,0,1,1,0,121798.52,Exit
656,46,7,141535.52,1,1,0,50595.15,Exit
676,49,1,0,1,1,0,79342.31,Exit
650,42,4,194532.66,1,1,0,171045.31,Exit
569,41,4,120243.49,1,1,0,163150.03,Exit
621,40,7,0,2,0,1,131283.6,Exit
542,54,8,105770.14,1,0,1,140929.98,Exit
849,49,9,132934.89,1,1,0,171056.65,Exit
644,51,4,95560.04,1,0,0,72628.84,Exit
600,49,6,0,1,0,1,148087.88,Exit
684,60,2,116563.58,1,1,0,120257.7,Exit
718,52,8,79475.3,3,1,1,32421.32,Exit
556,51,8,61354.14,1,1,0,198810.65,Exit
556,51,8,61354.14,1,1,0,198810.65,Exit
655,37,4,108862.76,1,1,0,79555.08,Exit
775,48,4,178144.91,2,0,0,50168.41,Exit
552,33,3,144962.74,1,1,0,58844.84,Exit
435,37,8,114346.3,1,0,1,980.93,Exit
556,51,8,61354.14,1,1,0,198810.65,Exit
600,49,6,0,1,0,1,148087.88,Exit
585,50,2,125845.66,1,1,0,9439.31,Exit
605,57,2,0,3,1,0,66652.75,Exit
552,33,3,144962.74,1,1,0,58844.84,Exit
547,41,3,151191.31,1,1,0,175295.89,Exit
705,48,1,156848.13,2,1,1,99475.95,Exit
556,51,8,61354.14,1,1,0,198810.65,Exit
667,42,7,0,1,0,1,108348.94,Exit
603,35,1,123407.69,1,1,0,152541.89,Exit
621,40,7,0,2,0,1,131283.6,Exit
644,51,4,95560.04,1,0,0,72628.84,Exit
684,60,2,116563.58,1,1,0,120257.7,Exit
684,60,2,116563.58,1,1,0,120257.7,Exit
825,35,6,118336.95,1,1,0,26342.33,Exit
652,51,3,0,1,1,0,173989.47,Exit
635,27,8,127471.56,1,1,1,152916.05,Exit
591,27,5,107812.67,1,0,1,162501.83,Exit
494,41,2,69974.66,2,1,0,188426.13,Exit
617,50,7,0,1,1,0,184839.7,Exit
747,41,9,0,1,1,0,32430.94,Exit
532,52,9,137755.76,1,1,0,163191.99,Exit
491,68,1,95039.12,1,0,1,116471.14,Exit
605,57,2,0,3,1,0,66652.75,Exit
652,51,3,0,1,1,0,173989.47,Exit
