@relation Churn_train-weka.filters.unsupervised.instance.RemoveFolds-S0-N10-F1-weka.filters.unsupervised.instance.Resample-S1-Z100.0

@attribute CreditScore numeric
@attribute Age numeric
@attribute Tenure numeric
@attribute Balance numeric
@attribute NumOfProducts numeric
@attribute HasCrCard numeric
@attribute IsActiveMember numeric
@attribute EstimatedSalary numeric
@attribute Exited {Stay,Exit}

@data
717,22,6,101060.25,1,0,1,84699.56,Stay
611,40,8,100812.33,2,1,0,147358.27,Stay
539,43,3,116220.5,3,1,0,55803.96,Exit
611,40,8,100812.33,2,1,0,147358.27,Stay
524,36,10,0,2,1,0,109614.57,Stay
726,31,9,114722.05,2,1,1,98178.57,Stay
709,45,2,0,2,0,1,162922.65,Stay
619,42,2,0,1,1,1,101348.88,Exit
522,34,9,126436.29,1,1,0,174248.52,Exit
592,31,7,110071.1,1,0,0,43921.36,Stay
584,30,8,112013.81,1,1,0,177772.03,Exit
510,30,0,0,2,1,1,130553.47,Stay
619,43,1,125211.92,1,1,1,113410.49,Stay
490,31,3,145260.23,1,0,1,114066.77,Stay
840,43,7,0,2,1,0,90908.95,Stay
737,41,1,101960.74,1,1,1,123547.28,Stay
594,29,3,130830.22,1,1,0,61048.53,Stay
850,43,2,125510.82,1,1,1,79084.1,Stay
705,44,3,105934.96,1,1,0,82463.69,Stay
665,40,6,0,1,1,1,161848.03,Stay
535,48,9,0,1,1,0,149892.79,Exit
641,37,7,0,2,1,0,75248.3,Stay
636,42,2,0,2,1,1,55470.78,Stay
710,22,8,0,2,0,0,99645.04,Stay
622,32,6,169089.38,2,1,0,101057.95,Stay
668,37,10,152958.29,2,1,1,159585.61,Stay
635,35,7,0,2,1,1,65951.65,Stay
628,33,3,0,1,1,1,188193.25,Stay
574,43,3,141349.43,1,1,1,100187.43,Stay
520,58,3,0,2,0,1,32790.02,Stay
695,46,7,49512.55,1,1,0,133007.34,Stay
628,30,9,132351.29,2,1,1,74169.13,Stay
511,66,4,0,1,1,0,1643.11,Exit
510,38,4,0,1,1,0,118913.53,Exit
729,30,9,0,2,1,0,151869.35,Stay
479,40,1,0,2,0,0,114996.43,Stay
610,40,0,0,2,1,0,62232.6,Stay
608,41,1,83807.86,1,0,1,112542.58,Stay
687,44,7,0,3,1,0,155853.52,Exit
616,30,5,0,2,0,1,196108.51,Stay
555,33,1,56084.69,2,0,0,178798.13,Stay
725,39,5,116803.8,1,1,0,124052.97,Stay
643,45,5,0,1,1,0,142513.5,Exit
730,35,0,155470.55,1,1,1,53718.28,Stay
675,21,8,98373.26,1,1,0,18203,Stay
687,39,2,0,3,0,0,188150.6,Exit
807,35,3,174790.15,1,1,1,600.36,Stay
850,38,3,54901.01,1,1,1,140075.55,Stay
652,80,4,0,2,1,1,188603.07,Stay
506,41,1,0,2,1,0,31766.3,Stay
756,36,2,136815.64,1,1,1,170041.95,Stay
717,35,7,58469.37,2,1,1,172459.39,Stay
828,34,8,129433.34,2,0,0,38131.77,Stay
655,41,8,125561.97,1,0,0,164040.94,Exit
716,35,4,144428.87,1,1,0,134132.65,Stay
623,44,6,0,2,0,0,167162.43,Stay
623,44,6,0,2,0,0,167162.43,Stay
627,30,4,79871.02,2,1,0,129826.89,Stay
754,32,7,0,2,1,0,89520.75,Stay
512,40,5,0,2,1,1,146457.83,Stay
512,37,1,0,2,0,1,156105.03,Stay
730,42,4,0,2,0,1,85982.47,Stay
735,21,1,178718.19,2,1,0,22388,Stay
673,38,2,170061.92,2,0,0,134901.34,Exit
625,28,3,0,1,0,0,183646.41,Stay
501,44,4,142051.07,2,0,1,74940.5,Stay
834,49,2,131394.56,1,0,0,194365.76,Exit
443,36,6,70438.01,2,0,1,56937.43,Stay
637,39,9,137843.8,1,1,1,117622.8,Exit
816,38,5,130878.75,3,1,0,71905.77,Exit
850,45,2,122311.21,1,1,1,19482.5,Stay
535,48,9,0,1,1,0,149892.79,Exit
584,30,8,112013.81,1,1,0,177772.03,Exit
522,34,9,126436.29,1,1,0,174248.52,Exit
540,42,9,87271.41,2,1,0,172572.64,Stay
572,35,4,152390.26,1,1,0,128123.66,Stay
635,40,10,123497.58,1,1,0,131953.23,Exit
494,38,7,174937.64,1,1,0,40084.32,Stay
675,21,8,98373.26,1,1,0,18203,Stay
501,44,4,142051.07,2,0,1,74940.5,Stay
711,38,2,129022.06,2,1,1,14374.86,Exit
591,29,1,97541.24,1,1,1,196356.17,Stay
664,55,8,0,2,1,1,139161.64,Stay
668,37,6,167864.4,1,1,0,115638.29,Stay
773,41,9,102827.44,1,0,1,64595.25,Stay
674,39,6,120193.42,1,0,0,100130.95,Stay
521,35,6,96423.84,1,1,0,10488.44,Stay
585,67,5,113978.97,2,0,1,93146.11,Stay
726,24,6,0,2,1,1,54724.03,Stay
574,43,3,141349.43,1,1,1,100187.43,Stay
733,34,3,100337.96,3,1,0,48559.19,Exit
698,44,10,116363.37,2,1,0,198059.16,Stay
550,37,3,0,1,1,1,179670.31,Stay
773,25,2,135903.33,1,1,0,73656.38,Stay
850,57,8,126776.3,2,1,1,132298.49,Stay
640,68,9,0,2,1,1,199493.38,Stay
747,41,5,94521.17,2,1,0,194926.86,Stay
653,58,1,132602.88,1,1,0,5097.67,Exit
627,30,4,79871.02,2,1,0,129826.89,Stay
744,26,5,166297.89,1,1,1,181694.44,Stay
574,43,3,141349.43,1,1,1,100187.43,Stay
497,24,3,0,2,1,0,76390.01,Stay
648,50,9,102535.57,1,1,1,189543.19,Stay
443,29,9,99027.61,2,1,0,10940.4,Stay
647,44,5,0,3,1,1,174205.22,Exit
754,55,3,161608.81,1,1,0,8080.85,Exit
515,35,10,176273.95,1,0,1,121277.78,Stay
648,46,9,127209,2,1,0,77405.95,Exit
662,32,4,133950.37,1,1,1,48725.68,Exit
673,38,2,170061.92,2,0,0,134901.34,Exit
545,47,5,0,2,1,1,38970.14,Stay
763,31,4,0,2,0,0,50404.72,Stay
814,29,8,97086.4,2,1,1,197276.13,Stay
759,42,4,105420.18,1,0,1,121409.06,Stay
706,37,7,0,2,1,1,110899.3,Stay
586,28,2,0,2,1,1,92067.35,Stay
603,26,4,109166.37,1,1,1,92840.67,Stay
629,35,7,156847.29,2,1,0,31824.29,Stay
522,34,9,126436.29,1,1,0,174248.52,Exit
582,39,5,0,2,1,1,129892.93,Stay
758,33,7,0,2,0,0,82996.47,Stay
711,38,3,0,2,1,0,68487.51,Stay
582,39,5,0,2,1,1,129892.93,Stay
807,42,7,118274.71,1,1,1,25885.72,Stay
829,27,9,112045.67,1,1,1,119708.21,Exit
752,38,3,183102.29,1,1,1,71557.12,Stay
772,26,7,152400.51,2,1,0,79414,Stay
709,45,2,0,2,0,1,162922.65,Stay
762,51,3,99286.98,1,0,1,85578.63,Stay
777,53,10,0,2,1,0,189992.97,Stay
614,50,4,137104.47,1,1,0,127166.49,Exit
703,37,8,105961.68,2,0,1,74158.8,Stay
475,45,0,134264.04,1,1,0,27822.99,Exit
616,32,6,0,2,1,1,43001.46,Stay
801,42,4,141947.67,1,1,1,10598.29,Stay
650,41,9,0,2,0,1,191599.67,Stay
594,29,3,130830.22,1,1,0,61048.53,Stay
807,35,3,174790.15,1,1,1,600.36,Stay
643,45,5,0,1,1,0,142513.5,Exit
626,35,3,0,1,0,0,80190.36,Stay
642,40,6,129502.49,2,0,1,86099.23,Exit
762,51,3,99286.98,1,0,1,85578.63,Stay
608,41,3,89763.84,1,0,0,199304.74,Exit
757,26,8,121581.56,2,1,1,127059.04,Stay
729,30,9,0,2,1,0,151869.35,Stay
574,43,3,141349.43,1,1,1,100187.43,Stay
671,45,2,106376.85,1,0,1,158264.62,Stay
738,31,9,82674.15,1,1,0,41970.72,Stay
521,35,6,96423.84,1,1,0,10488.44,Stay
512,36,3,84327.77,2,1,0,17675.36,Stay
732,42,9,108748.08,2,1,1,65323.11,Stay
850,36,7,0,1,1,1,40812.9,Stay
520,42,6,0,2,1,1,34410.55,Stay
667,31,1,119266.69,1,1,1,28257.63,Stay
548,33,0,101084.36,1,1,0,42749.85,Stay
510,65,2,0,2,1,1,48071.61,Stay
474,37,3,0,2,0,0,57175.32,Stay
671,45,2,106376.85,1,0,1,158264.62,Stay
498,34,2,0,2,1,1,148528.24,Stay
616,32,6,0,2,1,1,43001.46,Stay
785,36,2,99806.85,1,0,1,36976.52,Stay
709,28,8,124695.72,2,1,0,145251.35,Stay
584,48,2,213146.2,1,1,0,75161.25,Exit
738,31,9,82674.15,1,1,0,41970.72,Stay
651,36,7,0,2,1,0,13898.31,Stay
512,37,1,0,2,0,1,156105.03,Stay
556,39,9,89588.35,1,1,1,94898.1,Stay
807,43,1,105799.32,2,1,0,34888.04,Exit
840,43,7,0,2,1,0,90908.95,Stay
673,38,2,170061.92,2,0,0,134901.34,Exit
710,41,2,156067.05,1,1,1,9983.88,Stay
659,32,3,150923.74,2,0,1,174652.51,Stay
658,29,4,80262.6,1,1,1,20612.82,Stay
549,39,7,0,1,0,0,81259.25,Exit
501,57,10,0,2,1,1,47847.19,Stay
709,28,8,124695.72,2,1,0,145251.35,Stay
682,26,0,110654.02,1,0,1,111879.21,Stay
717,35,7,58469.37,2,1,1,172459.39,Stay
694,31,10,0,2,1,0,160990.27,Stay
758,39,6,127357.76,1,0,1,56577,Stay
544,21,10,161525.96,2,1,0,9262.77,Stay
753,35,3,0,2,1,1,184843.77,Stay
774,26,2,93844.69,1,1,0,28415.36,Stay
626,35,3,0,1,0,0,80190.36,Stay
646,73,6,97259.25,1,0,1,104719.66,Stay
754,32,7,0,2,1,0,89520.75,Stay
510,30,0,0,2,1,1,130553.47,Stay
667,40,1,146502.07,1,1,0,19162.89,Stay
549,39,7,0,1,0,0,81259.25,Exit
704,24,7,113034.22,1,1,0,162503.48,Exit
484,35,7,133868.21,1,1,1,27286.1,Stay
771,36,5,77846.9,1,0,0,99805.99,Stay
726,31,9,114722.05,2,1,1,98178.57,Stay
722,37,2,0,1,0,0,120906.83,Stay
726,24,6,0,2,1,1,54724.03,Stay
464,42,3,85679.25,1,1,1,164104.74,Stay
605,33,5,150092.8,1,0,0,71862.79,Stay
846,38,5,0,1,1,1,187616.16,Stay
602,29,5,103907.28,1,1,0,161229.84,Stay
790,31,9,0,2,1,0,84126.75,Stay
703,28,2,81173.83,2,0,1,162812.16,Stay
757,33,5,77253.22,1,0,1,194239.63,Stay
593,29,2,152265.43,1,1,0,34004.44,Stay
814,29,8,97086.4,2,1,1,197276.13,Stay
735,44,9,120681.63,1,1,0,74836.34,Stay
514,43,1,95556.31,1,0,1,199273.98,Exit
509,25,3,108738.71,2,1,0,106920.57,Stay
664,55,8,0,2,1,1,139161.64,Stay
650,37,5,106967.18,1,0,0,24495.03,Stay
464,42,3,85679.25,1,1,1,164104.74,Stay
850,38,1,0,2,1,1,80006.65,Stay
684,27,2,134603.88,1,1,1,71725.73,Stay
710,22,8,0,2,0,0,99645.04,Stay
654,32,1,114510.85,1,1,1,126143.23,Stay
493,46,4,0,2,1,0,1907.66,Stay
687,27,9,152328.88,2,0,0,126494.82,Stay
502,42,8,159660.8,3,1,0,113931.57,Exit
521,35,6,96423.84,1,1,0,10488.44,Stay
648,26,9,162923.85,1,1,0,98368.24,Stay
660,31,9,125189.75,2,1,1,139874.43,Stay
789,39,7,124828.46,2,1,1,124411.08,Stay
704,24,7,113034.22,1,1,0,162503.48,Exit
650,41,9,0,2,0,1,191599.67,Stay
587,34,1,0,2,1,1,97932.68,Stay
626,26,8,0,2,0,0,191420.71,Stay
757,26,8,121581.56,2,1,1,127059.04,Stay
730,33,9,0,2,0,0,176576.62,Stay
611,46,6,0,2,1,0,45886.33,Stay
627,33,5,0,2,1,1,103737.82,Stay
443,36,6,70438.01,2,0,1,56937.43,Stay
545,47,5,0,2,1,1,38970.14,Stay
732,41,8,0,2,1,1,170886.17,Stay
535,48,9,0,1,1,0,149892.79,Exit
670,25,6,0,2,1,1,78358.94,Stay
689,33,2,161814.64,2,1,0,169381.9,Stay
718,36,9,0,1,1,0,45909.87,Stay
711,38,2,129022.06,2,1,1,14374.86,Exit
479,40,1,0,2,0,0,114996.43,Stay
664,26,7,116244.14,2,1,1,95145.14,Stay
582,32,1,88938.62,1,1,1,10054.53,Stay
539,37,2,127609.59,1,1,0,98646.22,Stay
667,39,2,0,2,1,0,40721.24,Exit
680,30,8,141441.75,1,1,1,16278.97,Stay
643,45,5,0,1,1,0,142513.5,Exit
712,33,6,0,2,1,1,190686.16,Stay
560,66,9,0,1,1,1,15928.49,Stay
594,29,3,130830.22,1,1,0,61048.53,Stay
461,34,5,63663.93,1,0,1,167784.28,Stay
646,73,6,97259.25,1,0,1,104719.66,Stay
663,34,7,0,2,1,1,180427.24,Stay
605,33,5,150092.8,1,0,0,71862.79,Stay
738,31,9,79019.8,1,1,1,18606.23,Stay
574,43,3,141349.43,1,1,1,100187.43,Stay
712,29,2,0,1,1,1,144375,Stay
640,75,1,106307.91,2,0,1,113428.77,Stay
756,62,3,0,1,1,1,11199.04,Exit
714,55,9,180075.22,1,1,1,100127.71,Stay
684,56,8,78707.16,1,1,1,99398.36,Stay
510,65,2,0,2,1,1,48071.61,Stay
681,38,3,0,2,1,1,112491.96,Stay
685,30,3,90536.81,1,0,1,63082.88,Stay
765,36,8,92310.54,2,1,1,72924.56,Stay
512,33,3,176666.62,1,1,0,94670.77,Stay
615,41,9,109013.23,1,1,0,196499.96,Stay
718,36,9,0,1,1,0,45909.87,Stay
636,32,8,0,2,1,0,138555.46,Stay
631,27,10,134169.62,1,1,1,176730.02,Stay
553,47,3,116528.15,1,0,0,145704.19,Exit
676,34,1,63095.01,1,1,1,40645.81,Stay
765,36,8,92310.54,2,1,1,72924.56,Stay
846,38,5,0,1,1,1,187616.16,Stay
770,24,9,101827.07,1,1,0,167256.35,Stay
584,30,8,112013.81,1,1,0,177772.03,Exit
682,26,0,110654.02,1,0,1,111879.21,Stay
605,33,5,150092.8,1,0,0,71862.79,Stay
731,43,2,0,1,1,1,170034.95,Exit
581,34,1,101633.04,1,1,0,110431.51,Stay
763,31,4,0,2,0,0,50404.72,Stay
608,41,3,89763.84,1,0,0,199304.74,Exit
487,61,5,110368.03,1,0,0,11384.45,Exit
646,35,6,84026.86,1,0,1,164255.69,Stay
710,22,8,0,2,0,0,99645.04,Stay
533,36,7,85311.7,1,0,1,156731.91,Stay
662,32,4,133950.37,1,1,1,48725.68,Exit
699,39,1,0,2,0,0,93826.63,Stay
753,35,3,0,2,1,1,184843.77,Stay
588,34,10,0,2,1,0,79078.91,Stay
850,38,3,54901.01,1,1,1,140075.55,Stay
416,32,0,0,2,0,1,878.87,Stay
738,31,9,82674.15,1,1,0,41970.72,Stay
571,44,9,0,2,0,0,38433.35,Stay
721,36,2,0,2,1,1,106977.8,Stay
726,24,6,0,2,1,1,54724.03,Stay
438,31,8,78398.69,1,1,0,44937.01,Stay
714,55,9,180075.22,1,1,1,100127.71,Stay
498,34,2,0,2,1,1,148528.24,Stay
592,31,7,110071.1,1,0,0,43921.36,Stay
828,34,8,129433.34,2,0,0,38131.77,Stay
594,24,0,97378.54,1,1,1,71405.17,Stay
718,36,9,0,1,1,0,45909.87,Stay
611,40,8,100812.33,2,1,0,147358.27,Stay
678,35,4,0,1,1,0,125518.32,Stay
757,26,8,121581.56,2,1,1,127059.04,Stay
652,80,4,0,2,1,1,188603.07,Stay
739,54,8,126418.14,1,1,0,134420.75,Exit
641,37,7,0,2,1,0,75248.3,Stay
572,26,4,118287.01,2,0,0,60427.3,Stay
549,39,7,0,1,0,0,81259.25,Exit
555,33,1,56084.69,2,0,0,178798.13,Stay
699,39,1,0,2,0,0,93826.63,Stay
460,35,8,102742.91,2,1,1,189339.6,Stay
684,56,8,78707.16,1,1,1,99398.36,Stay
650,41,9,0,2,0,1,191599.67,Stay
570,58,8,0,1,0,1,116503.92,Exit
521,35,6,96423.84,1,1,0,10488.44,Stay
619,43,1,125211.92,1,1,1,113410.49,Stay
721,37,3,107720.64,1,1,1,158591.12,Stay
438,31,8,78398.69,1,1,0,44937.01,Stay
799,22,8,174185.98,2,0,1,192633.85,Stay
660,31,9,125189.75,2,1,1,139874.43,Stay
707,30,8,0,2,1,0,33159.37,Stay
711,38,3,0,2,1,0,68487.51,Stay
850,38,1,0,2,1,1,80006.65,Stay
509,25,3,108738.71,2,1,0,106920.57,Stay
492,30,10,77168.87,2,0,1,146700.22,Stay
549,39,7,0,1,0,0,81259.25,Exit
432,42,9,152603.45,1,1,0,110265.24,Exit
667,31,1,119266.69,1,1,1,28257.63,Stay
791,35,7,52436.2,1,1,0,161051.75,Stay
682,24,9,57929.81,2,0,0,53134.3,Stay
605,52,1,63349.75,1,1,0,108887.44,Stay
727,34,10,0,2,1,1,198637.34,Stay
484,35,7,133868.21,1,1,1,27286.1,Stay
687,38,9,122570.87,1,1,1,35608.88,Stay
611,31,0,107884.81,2,1,1,183487.98,Stay
474,37,3,0,2,0,0,57175.32,Stay
702,45,0,80793.58,1,1,1,27474.81,Stay
730,62,2,0,2,1,1,186489.95,Stay
777,32,2,0,1,1,0,136458.19,Exit
586,38,2,0,2,1,0,87168.46,Stay
850,57,8,126776.3,2,1,1,132298.49,Stay
655,41,8,125561.97,1,0,0,164040.94,Exit
594,24,0,97378.54,1,1,1,71405.17,Stay
416,41,10,122189.66,2,1,0,98301.61,Stay
538,49,9,141434.04,1,0,0,173779.25,Exit
582,39,5,0,2,1,1,129892.93,Stay
549,39,7,0,1,0,0,81259.25,Exit
643,59,3,170331.37,1,1,1,32171.79,Stay
671,35,1,144848.74,1,1,1,179012.3,Stay
643,59,3,170331.37,1,1,1,32171.79,Stay
675,36,9,106190.55,1,0,1,22994.32,Stay
722,29,9,0,2,1,1,142033.07,Stay
618,34,5,134954.53,1,1,1,151954.39,Stay
571,33,1,0,2,1,0,102750.7,Stay
593,29,2,152265.43,1,1,0,34004.44,Stay
528,31,6,102016.72,2,0,0,80181.12,Stay
588,34,10,0,2,1,0,79078.91,Stay
614,43,6,0,2,1,1,109041.53,Stay
763,31,4,0,2,0,0,50404.72,Stay
850,43,2,125510.82,1,1,1,79084.1,Stay
659,32,3,150923.74,2,0,1,174652.51,Stay
767,20,3,119714.25,2,0,1,150135.38,Stay
785,28,8,0,2,1,0,77231.27,Stay
568,40,1,99282.63,1,0,0,134600.94,Exit
472,40,4,0,1,1,0,70154.22,Stay
684,30,2,0,2,1,0,83473.82,Stay
578,30,4,169462.09,1,1,0,112187.11,Stay
614,50,4,137104.47,1,1,0,127166.49,Exit
670,65,1,0,1,1,1,177655.68,Exit
614,50,4,137104.47,1,1,0,127166.49,Exit
671,45,6,99564.22,1,1,1,108872.45,Exit
777,53,10,0,2,1,0,189992.97,Stay
659,32,3,107594.11,2,1,1,102416.84,Stay
648,26,9,162923.85,1,1,0,98368.24,Stay
756,44,10,137452.09,1,1,0,189543.9,Stay
578,30,4,169462.09,1,1,0,112187.11,Stay
544,21,10,161525.96,2,1,0,9262.77,Stay
850,38,1,0,2,1,1,80006.65,Stay
807,42,7,118274.71,1,1,1,25885.72,Stay
762,39,2,81273.13,1,1,1,18719.67,Stay
850,38,3,54901.01,1,1,1,140075.55,Stay
850,43,2,125510.82,1,1,1,79084.1,Stay
634,24,8,103097.85,1,1,1,157577.29,Stay
531,47,6,0,1,0,0,194998.34,Exit
539,39,3,0,2,1,0,36692.17,Stay
642,40,6,129502.49,2,0,1,86099.23,Exit
613,45,1,187841.99,2,1,1,147224.27,Stay
727,34,10,0,2,1,1,198637.34,Stay
594,24,0,97378.54,1,1,1,71405.17,Stay
642,38,3,0,2,0,0,171463.83,Stay
678,35,4,0,1,1,0,125518.32,Stay
646,35,6,84026.86,1,0,1,164255.69,Stay
739,54,8,126418.14,1,1,0,134420.75,Exit
795,35,8,0,2,1,0,167155.36,Stay
681,38,3,0,2,1,1,112491.96,Stay
840,43,7,0,2,1,0,90908.95,Stay
706,57,7,0,1,1,0,17941.16,Exit
706,37,7,0,2,1,1,110899.3,Stay
569,38,7,0,1,1,1,108469.2,Stay
659,67,6,117411.6,1,1,1,45071.09,Exit
705,44,3,105934.96,1,1,0,82463.69,Stay
605,33,5,150092.8,1,0,0,71862.79,Stay
662,32,4,133950.37,1,1,1,48725.68,Exit
578,30,4,169462.09,1,1,0,112187.11,Stay
730,62,2,0,2,1,1,186489.95,Stay
643,46,6,0,2,0,0,106781.59,Stay
574,43,3,141349.43,1,1,1,100187.43,Stay
438,31,8,78398.69,1,1,0,44937.01,Stay
814,29,8,97086.4,2,1,1,197276.13,Stay
670,25,6,0,2,1,1,78358.94,Stay
630,34,9,106937.05,2,1,0,138275.01,Stay
490,31,3,145260.23,1,0,1,114066.77,Stay
769,39,8,0,1,0,1,21016,Stay
756,60,3,115924.89,1,1,0,93524.19,Exit
694,31,10,0,2,1,0,160990.27,Stay
671,45,6,99564.22,1,1,1,108872.45,Exit
637,39,9,137843.8,1,1,1,117622.8,Exit
816,38,5,130878.75,3,1,0,71905.77,Exit
691,31,5,40915.55,1,1,0,126213.84,Exit
724,41,2,127892.57,2,0,1,199645.45,Stay
745,31,3,124328.84,1,1,1,140451.52,Stay
790,31,9,0,2,1,0,84126.75,Stay
795,35,8,0,2,1,0,167155.36,Stay
730,33,9,0,2,0,0,176576.62,Stay
665,40,6,0,1,1,1,161848.03,Stay
510,38,4,0,1,1,0,118913.53,Exit
718,36,9,0,1,1,0,45909.87,Stay
846,38,5,0,1,1,1,187616.16,Stay
659,32,3,150923.74,2,0,1,174652.51,Stay
479,35,9,92833.89,1,1,0,99449.86,Exit
647,44,5,0,3,1,1,174205.22,Exit
773,25,2,135903.33,1,1,0,73656.38,Stay
585,36,5,146050.97,2,0,0,86424.57,Stay
850,45,2,122311.21,1,1,1,19482.5,Stay
556,39,9,89588.35,1,1,1,94898.1,Stay
756,62,3,0,1,1,1,11199.04,Exit
729,30,6,63669.42,1,1,0,145111.37,Stay
675,21,8,98373.26,1,1,0,18203,Stay
662,38,4,0,2,1,0,136259.65,Stay
636,42,2,0,2,1,1,55470.78,Stay
636,34,2,40105.51,2,0,1,53512.16,Stay
834,49,2,131394.56,1,0,0,194365.76,Exit
640,75,1,106307.91,2,0,1,113428.77,Stay
670,37,4,170557.91,2,1,0,198252.88,Stay
681,38,3,0,2,1,1,112491.96,Stay
580,29,9,61710.44,2,1,0,128077.8,Stay
531,36,9,99240.51,1,1,0,123137.01,Stay
659,32,3,107594.11,2,1,1,102416.84,Stay
682,26,0,110654.02,1,0,1,111879.21,Stay
574,43,3,141349.43,1,1,1,100187.43,Stay
671,35,1,144848.74,1,1,1,179012.3,Stay
628,27,5,95826.49,2,1,0,155996.96,Stay
615,61,9,0,2,1,0,150227.85,Exit
524,31,8,107818.63,1,1,0,199725.39,Exit
553,33,4,118082.89,1,0,0,94440.45,Stay
486,37,9,115217.99,2,1,0,144995.33,Stay
480,44,10,129608.57,1,1,0,5472.7,Exit
650,37,5,106967.18,1,0,0,24495.03,Stay
619,43,1,125211.92,1,1,1,113410.49,Stay
